Genus,effect,term,estimate,std.error,statistic,p.value,p.adj,sig,ASVstring,col1,col2,col3,col4,col5,sigASV,test
ASV188,fixed,d1,2.146150535,0.82729,2.594193735,0.009481304,0.009481304,P-Value < 0.05,Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas,Genus
ASV189,fixed,d1,2.529697462,0.90961,2.781079212,0.005417852,0.005417852,P-Value < 0.05,Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Alloprevotella,Genus
ASV40,fixed,d1,0.966085692,0.35129,2.750108719,0.005957549,0.005957549,P-Value < 0.05,Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium,Genus
ASV408,fixed,d1,1.554193325,0.73905,2.102960997,0.035469179,0.035469179,P-Value < 0.05,Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Clostridium sensu stricto 1,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,Clostridium sensu stricto 1,Genus
ASV446,fixed,d1,1.572546259,0.72541,2.167803393,0.030173649,0.030173649,P-Value < 0.05,Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia,Genus
ASV484,fixed,d1,2.360892429,0.8753,2.697238008,0.006991728,0.006991728,P-Value < 0.05,Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Ruminococcus] torques group,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,[Ruminococcus] torques group,Ruminococcus torques group,Genus
ASV499,fixed,d1,1.530607007,0.62853,2.435217105,0.014882857,0.014882857,P-Value < 0.05,Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Butyricicoccus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Butyricicoccus,Butyricicoccus,Genus
ASV849,fixed,d1,-4.902916297,0.59758,-8.204619125,2.31E-16,4.63E-16,P-Value < 0.05,Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter,Genus
ASV890,fixed,d1,1.416375231,0.48671,2.910100945,0.00361312,0.00361312,P-Value < 0.05,Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma,Genus
ASV1474,fixed,d1,1.201493408,0.49304,2.436908583,0.014813424,0.014813424,P-Value < 0.05,Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma;Mycoplasma dispar,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma dispar,Species
ASV61,fixed,d1,0.966085692,0.35129,2.750108719,0.005957549,0.005957549,P-Value < 0.05,Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium,Species
ASV692,fixed,d1,1.468581846,0.73392,2.0010108,0.045391226,0.045391226,P-Value < 0.05,Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Clostridium sensu stricto 1;Clostridium sensu stricto 1,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,Clostridium sensu stricto 1,Species