,calf,d,sample,Species,RA,RelAbund,comparison
1,15,1,ds1_15,ASV1374,0,0,d0 vs d1
2,15,1,ds1_15,ASV1375,0,0,d0 vs d1
3,15,1,ds1_15,ASV1377,0,0,d0 vs d1
4,15,1,ds1_15,ASV1472,0,0,d0 vs d1
21,15,5,ds5_15,ASV1374,0,0,d0 vs d5
22,15,5,ds5_15,ASV1375,0,0,d0 vs d5
23,15,5,ds5_15,ASV1377,0,0,d0 vs d5
24,15,5,ds5_15,ASV1472,0,0,d0 vs d5
37,15,10,ds10_15,ASV1374,0,0,d0 vs d10
38,15,10,ds10_15,ASV1375,0,0,d0 vs d10
39,15,10,ds10_15,ASV1377,0.001214329,0.121432908,d0 vs d10
40,15,10,ds10_15,ASV1472,0,0,d0 vs d10
5,19,0,ds0_19,ASV1374,0,0,d0 vs d1
6,19,0,ds0_19,ASV1375,0.002165674,0.216567407,d0 vs d1
7,19,0,ds0_19,ASV1377,0,0,d0 vs d1
8,19,0,ds0_19,ASV1472,0,0,d0 vs d1
25,19,0,ds0_19,ASV1374,0,0,d0 vs d5
26,19,0,ds0_19,ASV1375,0.002165674,0.216567407,d0 vs d5
27,19,0,ds0_19,ASV1377,0,0,d0 vs d5
28,19,0,ds0_19,ASV1472,0,0,d0 vs d5
41,19,0,ds0_19,ASV1374,0,0,d0 vs d10
42,19,0,ds0_19,ASV1375,0.002165674,0.216567407,d0 vs d10
43,19,0,ds0_19,ASV1377,0,0,d0 vs d10
44,19,0,ds0_19,ASV1472,0,0,d0 vs d10
9,19,1,ds1_19,ASV1374,0,0,d0 vs d1
10,19,1,ds1_19,ASV1375,0.00241838,0.241837969,d0 vs d1
11,19,1,ds1_19,ASV1377,0,0,d0 vs d1
12,19,1,ds1_19,ASV1472,0,0,d0 vs d1
29,19,5,ds5_19,ASV1374,0,0,d0 vs d5
30,19,5,ds5_19,ASV1375,0,0,d0 vs d5
31,19,5,ds5_19,ASV1377,0,0,d0 vs d5
32,19,5,ds5_19,ASV1472,0,0,d0 vs d5
45,19,10,ds10_19,ASV1374,0,0,d0 vs d10
46,19,10,ds10_19,ASV1375,0.000587889,0.058788948,d0 vs d10
47,19,10,ds10_19,ASV1377,0,0,d0 vs d10
48,19,10,ds10_19,ASV1472,0,0,d0 vs d10
13,30,0,ds0_30,ASV1374,0.004415011,0.441501104,d0 vs d1
14,30,0,ds0_30,ASV1375,0.002207506,0.220750552,d0 vs d1
15,30,0,ds0_30,ASV1377,0.071376012,7.137601177,d0 vs d1
16,30,0,ds0_30,ASV1472,0,0,d0 vs d1
33,30,0,ds0_30,ASV1374,0.004415011,0.441501104,d0 vs d5
34,30,0,ds0_30,ASV1375,0.002207506,0.220750552,d0 vs d5
35,30,0,ds0_30,ASV1377,0.071376012,7.137601177,d0 vs d5
36,30,0,ds0_30,ASV1472,0,0,d0 vs d5
49,30,0,ds0_30,ASV1374,0.004415011,0.441501104,d0 vs d10
50,30,0,ds0_30,ASV1375,0.002207506,0.220750552,d0 vs d10
51,30,0,ds0_30,ASV1377,0.071376012,7.137601177,d0 vs d10
52,30,0,ds0_30,ASV1472,0,0,d0 vs d10
17,30,1,ds1_30,ASV1374,0,0,d0 vs d1
18,30,1,ds1_30,ASV1375,0,0,d0 vs d1
19,30,1,ds1_30,ASV1377,0,0,d0 vs d1
20,30,1,ds1_30,ASV1472,0,0,d0 vs d1
53,30,10,ds10_30,ASV1374,0,0,d0 vs d10
54,30,10,ds10_30,ASV1375,0,0,d0 vs d10
55,30,10,ds10_30,ASV1377,0.000582411,0.058241118,d0 vs d10
56,30,10,ds10_30,ASV1472,0,0,d0 vs d10