IDRemove,ASV
Clostridiumsensustricto18ASV1877S,ASV1877
Clostridiumsensustricto30ASV138S,ASV138
Clostridiumsensustricto28ASV2023S,ASV2023
Clostridiumsensustricto31ASV2768S,ASV2768
Clostridiumsensustricto14ASV1215S,ASV1215
Clostridiumsensustricto10ASV3446S,ASV3446
Clostridiumsensustricto19ASV496S,ASV496
Clostridiumsensustricto22ASV903S,ASV903
Clostridiumsensustricto2ASV1308S,ASV1308
Clostridiumsensustricto3ASV2732S,ASV2732
Clostridiumsensustricto13ASV49S,ASV49
Clostridiumsensustricto23ASV804S,ASV804
Clostridiumsensustricto25ASV192S,ASV192
Clostridiumsensustricto26ASV3414S,ASV3414
Clostridiumsensustricto8ASV1874S,ASV1874
Clostridiumsensustricto1ASV2542S,ASV2542
Clostridiumsensustricto12ASV2840S,ASV2840
Clostridiumsensustricto5ASV1304S,ASV1304
Clostridiumsensustricto20ASV725S,ASV725
Clostridiumsensustricto4ASV3347S,ASV3347
Clostridiumsensustricto24ASV1439S,ASV1439
Clostridiumsensustricto17ASV1904S,ASV1904
Clostridiumsensustricto29ASV3640S,ASV3640
EscherichiaShigellaASV2780S,ASV2780
EscherichiaShigellaASV412S,ASV412
EscherichiaShigellaASV2514S,ASV2514
EscherichiaShigellaASV632S,ASV632
EscherichiaShigellaASV1111S,ASV1111
EscherichiaShigellaASV1464S,ASV1464
EscherichiaShigellaASV1672S,ASV1672
EscherichiaShigellaASV1762S,ASV1762
EscherichiaShigellaASV1846S,ASV1846
EscherichiaShigellaASV2150S,ASV2150
EscherichiaShigellaASV2214S,ASV2214
EscherichiaShigellaASV2450S,ASV2450
EscherichiaShigellaASV2537S,ASV2537
EscherichiaShigellaASV2910S,ASV2910
EscherichiaShigellaASV3145S,ASV3145
EscherichiaShigellaASV417S,ASV417
EscherichiaShigellaASV489S,ASV489
EscherichiaShigellaASV1510S,ASV1510
EscherichiaShigellaASV1934S,ASV1934
HistophilusASV357S,ASV357
LactobacillusASV3364S,ASV3364
LactobacillusASV2581S,ASV2581
LactobacillusASV1250S,ASV1250
LactobacillusASV1522S,ASV1522
LactobacillusASV2152S,ASV2152
LactobacillusASV1270S,ASV1270
LactobacillusASV141S,ASV141
LactobacillusASV511S,ASV511
LactobacillusASV683S,ASV683
LactobacillusASV931S,ASV931
LactobacillusASV117S,ASV117
LactobacillusASV2778S,ASV2778
LactobacillusASV2710S,ASV2710
LactobacillusASV751S,ASV751
LactobacillusASV2649S,ASV2649
LactobacillusASV2774S,ASV2774
LactobacillusASV2110S,ASV2110
LactobacillusASV1587S,ASV1587
LactobacillusASV2668S,ASV2668
LactobacillusASV156S,ASV156
LactobacillusASV3441S,ASV3441
LactobacillusASV1780S,ASV1780
LactobacillusASV2196S,ASV2196
LactobacillusASV2505S,ASV2505
LactobacillusASV2988S,ASV2988
LactobacillusASV2S,ASV2
LactobacillusASV319S,ASV319
LactobacillusASV3668S,ASV3668
LactobacillusASV2687S,ASV2687
LactobacillusASV3485S,ASV3485
LactobacillusASV911S,ASV911
LactobacillusASV3260S,ASV3260
LactobacillusASV3733S,ASV3733
LactobacillusASV503S,ASV503
LactobacillusASV404S,ASV404
LactobacillusASV3248S,ASV3248
LactobacillusASV1285S,ASV1285
LactobacillusASV3046S,ASV3046
LactobacillusASV3436S,ASV3436
LactobacillusASV2698S,ASV2698
LactobacillusASV1032S,ASV1032
LactobacillusASV1716S,ASV1716
LactobacillusASV1751S,ASV1751
LactobacillusASV1800S,ASV1800
LactobacillusASV2695S,ASV2695
LactobacillusASV2812S,ASV2812
LactobacillusASV3699S,ASV3699
LactobacillusASV432S,ASV432
LactobacillusASV490S,ASV490
LactobacillusASV876S,ASV876
LactobacillusASV882S,ASV882
LactobacillusASV1299S,ASV1299
LactobacillusASV1173S,ASV1173
LactobacillusASV1815S,ASV1815
LactobacillusASV2223S,ASV2223
LactobacillusASV3266S,ASV3266
LactobacillusASV40S,ASV40
LactobacillusASV480S,ASV480
LactobacillusASV927S,ASV927
LactobacillusASV1022S,ASV1022
LactobacillusASV1869S,ASV1869
LactobacillusASV1996S,ASV1996
LactobacillusASV2413S,ASV2413
LactobacillusASV2746S,ASV2746
LactobacillusASV3511S,ASV3511
LactobacillusASV3770S,ASV3770
LactobacillusASV812S,ASV812
LactobacillusASV3278S,ASV3278
LactobacillusASV1684S,ASV1684
LactobacillusASV3769S,ASV3769
LactobacillusASV3291S,ASV3291
LactobacillusASV410S,ASV410
LactobacillusASV1630S,ASV1630
LactobacillusASV2290S,ASV2290
LactobacillusASV2979S,ASV2979
LactobacillusASV667S,ASV667
LactobacillusASV3026S,ASV3026
LactobacillusASV2392S,ASV2392
LactobacillusASV2468S,ASV2468
LactobacillusASV2612S,ASV2612
LactobacillusASV2948S,ASV2948
LactobacillusASV1355S,ASV1355
LactobacillusASV2627S,ASV2627
LactobacillusASV1867S,ASV1867
LactobacillusASV3664S,ASV3664
LactobacillusASV852S,ASV852
LactobacillusASV2521S,ASV2521
LactobacillusASV1375S,ASV1375
LactobacillusASV1146S,ASV1146
LactobacillusASV2752S,ASV2752
LactobacillusASV3507S,ASV3507
LactobacillusASV2904S,ASV2904
LactobacillusASV1142S,ASV1142
LactobacillusASV1214S,ASV1214
LactobacillusASV1386S,ASV1386
LactobacillusASV2155S,ASV2155
LactobacillusASV2503S,ASV2503
LactobacillusASV2594S,ASV2594
LactobacillusASV3352S,ASV3352
LactobacillusASV3476S,ASV3476
LactobacillusASV3707S,ASV3707
LactobacillusASV3673S,ASV3673
LactobacillusASV1609S,ASV1609
LactobacillusASV3636S,ASV3636
LactobacillusASV3821S,ASV3821
LactobacillusASV3328S,ASV3328
LactobacillusASV1154S,ASV1154
LactobacillusASV1728S,ASV1728
LactobacillusASV1461S,ASV1461
LactobacillusASV3062S,ASV3062
LactobacillusASV3747S,ASV3747
LactobacillusASV810S,ASV810
LactobacillusASV3549S,ASV3549
LactobacillusASV3831S,ASV3831
LactobacillusASV2307S,ASV2307
LactobacillusASV104S,ASV104
LactobacillusASV284S,ASV284
LactobacillusASV3487S,ASV3487
LactobacillusASV283S,ASV283
LactobacillusASV58S,ASV58
LactobacillusASV2617S,ASV2617
LactobacillusASV3174S,ASV3174
LactobacillusASV891S,ASV891
LactobacillusASV300S,ASV300
LactobacillusASV518S,ASV518
LactobacillusASV3647S,ASV3647
LactobacillusASV3382S,ASV3382
LactobacillusASV3059S,ASV3059
LactobacillusASV848S,ASV848
LactobacillusASV3045S,ASV3045
LactobacillusASV2347S,ASV2347
LactobacillusASV3211S,ASV3211
LactobacillusASV1060S,ASV1060
LactobacillusASV1636S,ASV1636
LactobacillusASV1646S,ASV1646
LactobacillusASV1336S,ASV1336
LactobacillusASV2811S,ASV2811
LactobacillusASV1001S,ASV1001
MannheimiaASV1610S,ASV1610
MannheimiaASV1141S,ASV1141
MycoplasmaASV3675S,ASV3675
MycoplasmaASV1029S,ASV1029
MycoplasmaASV1860S,ASV1860
MycoplasmaASV573S,ASV573
MycoplasmaASV888S,ASV888
MycoplasmaASV18S,ASV18
MycoplasmaASV1242S,ASV1242
MycoplasmaASV3722S,ASV3722
MycoplasmaASV278S,ASV278
MycoplasmaASV34S,ASV34
MycoplasmaASV3156S,ASV3156
PasteurellaASV2804S,ASV2804
PasteurellaASV793S,ASV793